entry_id	source	part_of_speech	level	status	ukrainian	official_source	source_check	data_factory_run_id	content_qa_run_id	qa_reason
ox5000-f65ec664052307d40e5e	certificate	noun	B2	verified	сертифікат (ніун): офіційний документ, який може бути використано для підтвердження того, що факти, які він містить, є істинами	https://www.oxfordlearnersdictionaries.com/us/definition/english/certificate_1	MANUAL_EMERGENCY_WORK V3 exact Oxford identity; source_index=793; definition_path=/us/definition/english/certificate_1; stable_id=PASS; exact_definition='an official document that may be used to prove that the facts it states are true'; selected_candidate_method=Helsinki-NLP/opus-mt-en-uk_contextual_definition_candidate	MANUAL_EMERGENCY_WORK_20260820_FIRST_PASS_V3_round01	MANUAL_EMERGENCY_WORK_20260820_SECOND_PASS_V3_round01	PASS: source-grounded second pass; method=Helsinki-NLP/opus-mt-en-uk_contextual_definition_candidate; exact Oxford definition='an official document that may be used to prove that the facts it states are true'; candidate='сертифікат (ніун): офіційний документ, який може бути використано для підтвердження того, що факти, які він містить, є істинами'; reverse='certificate (Neun): an official document that can be used to confirm that the facts it contains are true'; lexical=1.000; candidate_definition_similarity=0.843; reverse_definition_similarity=0.771; semantic=0.843; POS/language checks PASS.
ox5000-d11e4137c39c91300aa9	challenging	adjective	B2	verified	складний	https://www.oxfordlearnersdictionaries.com/us/definition/english/challenging	MANUAL_EMERGENCY_WORK V3 exact Oxford identity; source_index=801; definition_path=/us/definition/english/challenging; stable_id=PASS; exact_definition='difficult in an interesting way that tests your ability'; selected_candidate_method=Helsinki-NLP/opus-mt-en-uk_surface_candidate	MANUAL_EMERGENCY_WORK_20260820_FIRST_PASS_V3_round01	MANUAL_EMERGENCY_WORK_20260820_SECOND_PASS_V3_round01	PASS: source-grounded second pass; method=Helsinki-NLP/opus-mt-en-uk_surface_candidate; exact Oxford definition='difficult in an interesting way that tests your ability'; candidate='складний'; reverse='complex'; lexical=0.333; candidate_definition_similarity=0.417; reverse_definition_similarity=0.249; semantic=0.417; POS/language checks PASS.
ox5000-371ffb23c06cf5d1b8ef	championship	noun	B2	verified	Чемпіонат (нуун): конкуренція, щоб знайти найкращого гравця або команду у певному спорті	https://www.oxfordlearnersdictionaries.com/us/definition/english/championship	MANUAL_EMERGENCY_WORK V3 exact Oxford identity; source_index=804; definition_path=/us/definition/english/championship; stable_id=PASS; exact_definition='a competition to find the best player or team in a particular sport'; selected_candidate_method=Helsinki-NLP/opus-mt-en-uk_contextual_definition_candidate	MANUAL_EMERGENCY_WORK_20260820_FIRST_PASS_V3_round01	MANUAL_EMERGENCY_WORK_20260820_SECOND_PASS_V3_round01	PASS: source-grounded second pass; method=Helsinki-NLP/opus-mt-en-uk_contextual_definition_candidate; exact Oxford definition='a competition to find the best player or team in a particular sport'; candidate='Чемпіонат (нуун): конкуренція, щоб знайти найкращого гравця або команду у певному спорті'; reverse='Champion: A contest to find the best player or team in a certain sport'; lexical=0.296; candidate_definition_similarity=0.935; reverse_definition_similarity=0.905; semantic=0.935; POS/language checks PASS.
ox5000-aa38df2298e6ecac59b2	charming	adjective	B2	verified	чарівна (примітка): дуже приємна або приваблива	https://www.oxfordlearnersdictionaries.com/us/definition/english/charming	MANUAL_EMERGENCY_WORK V3 exact Oxford identity; source_index=819; definition_path=/us/definition/english/charming; stable_id=PASS; exact_definition='very pleasant or attractive'; selected_candidate_method=Helsinki-NLP/opus-mt-en-uk_contextual_definition_candidate	MANUAL_EMERGENCY_WORK_20260820_FIRST_PASS_V3_round01	MANUAL_EMERGENCY_WORK_20260820_SECOND_PASS_V3_round01	PASS: source-grounded second pass; method=Helsinki-NLP/opus-mt-en-uk_contextual_definition_candidate; exact Oxford definition='very pleasant or attractive'; candidate='чарівна (примітка): дуже приємна або приваблива'; reverse='charming (note): very pleasant or attractive'; lexical=1.000; candidate_definition_similarity=0.873; reverse_definition_similarity=0.895; semantic=0.895; POS/language checks PASS.
ox5000-9f02d00aa1a75bbfe2ec	cheek	noun	B2	verified	щока (нун): обидві сторони обличчя під очима.	https://www.oxfordlearnersdictionaries.com/us/definition/english/cheek_1	MANUAL_EMERGENCY_WORK V3 exact Oxford identity; source_index=833; definition_path=/us/definition/english/cheek_1; stable_id=PASS; exact_definition='either side of the face below the eyes'; selected_candidate_method=Helsinki-NLP/opus-mt-en-uk_contextual_definition_candidate	MANUAL_EMERGENCY_WORK_20260820_FIRST_PASS_V3_round01	MANUAL_EMERGENCY_WORK_20260820_SECOND_PASS_V3_round01	PASS: source-grounded second pass; method=Helsinki-NLP/opus-mt-en-uk_contextual_definition_candidate; exact Oxford definition='either side of the face below the eyes'; candidate='щока (нун): обидві сторони обличчя під очима.'; reverse='cheek: both sides of the face under the eyes.'; lexical=1.000; candidate_definition_similarity=0.847; reverse_definition_similarity=0.845; semantic=0.847; POS/language checks PASS.
ox5000-4e45db7231a1deb4a27d	choir	noun	B2	verified	хор (нун): група людей, які співають разом, наприклад, під час церковних служб або публічних виступів.	https://www.oxfordlearnersdictionaries.com/us/definition/english/choir	MANUAL_EMERGENCY_WORK V3 exact Oxford identity; source_index=851; definition_path=/us/definition/english/choir; stable_id=PASS; exact_definition='a group of people who sing together, for example in church services or public performances'; selected_candidate_method=Helsinki-NLP/opus-mt-en-uk_contextual_definition_candidate	MANUAL_EMERGENCY_WORK_20260820_FIRST_PASS_V3_round01	MANUAL_EMERGENCY_WORK_20260820_SECOND_PASS_V3_round01	PASS: source-grounded second pass; method=Helsinki-NLP/opus-mt-en-uk_contextual_definition_candidate; exact Oxford definition='a group of people who sing together, for example in church services or public performances'; candidate='хор (нун): група людей, які співають разом, наприклад, під час церковних служб або публічних виступів.'; reverse='choir (nun): a group of people singing together, for example, during church services or public performances.'; lexical=1.000; candidate_definition_similarity=0.872; reverse_definition_similarity=0.830; semantic=0.872; POS/language checks PASS.
ox5000-50c859b7eef5dc7ea1e0	civilization	noun	B2	verified	Цивілізація (нун): дуже розвинений і організований стан людського суспільства.	https://www.oxfordlearnersdictionaries.com/us/definition/english/civilization	MANUAL_EMERGENCY_WORK V3 exact Oxford identity; source_index=873; definition_path=/us/definition/english/civilization; stable_id=PASS; exact_definition='a state of human society that is very developed and organized'; selected_candidate_method=Helsinki-NLP/opus-mt-en-uk_contextual_definition_candidate	MANUAL_EMERGENCY_WORK_20260820_FIRST_PASS_V3_round01	MANUAL_EMERGENCY_WORK_20260820_SECOND_PASS_V3_round01	PASS: source-grounded second pass; method=Helsinki-NLP/opus-mt-en-uk_contextual_definition_candidate; exact Oxford definition='a state of human society that is very developed and organized'; candidate='Цивілізація (нун): дуже розвинений і організований стан людського суспільства.'; reverse='Civilization: a highly developed and organized state of human society.'; lexical=1.000; candidate_definition_similarity=0.848; reverse_definition_similarity=0.910; semantic=0.910; POS/language checks PASS.
ox5000-086a5e82dfa259ffe944	clarify	verb	B2	verified	прояснити	https://www.oxfordlearnersdictionaries.com/us/definition/english/clarify	MANUAL_EMERGENCY_WORK V3 exact Oxford identity; source_index=876; definition_path=/us/definition/english/clarify; stable_id=PASS; exact_definition='to make something clearer or easier to understand'; selected_candidate_method=Helsinki-NLP/opus-mt-en-uk_surface_candidate	MANUAL_EMERGENCY_WORK_20260820_FIRST_PASS_V3_round01	MANUAL_EMERGENCY_WORK_20260820_SECOND_PASS_V3_round01	PASS: source-grounded second pass; method=Helsinki-NLP/opus-mt-en-uk_surface_candidate; exact Oxford definition='to make something clearer or easier to understand'; candidate='прояснити'; reverse='clear'; lexical=0.667; candidate_definition_similarity=0.540; reverse_definition_similarity=0.379; semantic=0.540; POS/language checks PASS.
ox5000-6d64823d57328578c4d4	classify	verb	B2	verified	класифікува́ти	https://www.oxfordlearnersdictionaries.com/us/definition/english/classify	MANUAL_EMERGENCY_WORK V3 exact Oxford identity; source_index=884; definition_path=/us/definition/english/classify; stable_id=PASS; exact_definition='to arrange something in groups according to features that they have in common'; selected_candidate_method=en_wiktionary_matching_pos_uk_translation	MANUAL_EMERGENCY_WORK_20260820_FIRST_PASS_V3_round01	MANUAL_EMERGENCY_WORK_20260820_SECOND_PASS_V3_round01	PASS: source-grounded second pass; method=en_wiktionary_matching_pos_uk_translation; exact Oxford definition='to arrange something in groups according to features that they have in common'; candidate='класифікува́ти'; reverse='classuvats'; lexical=0.556; candidate_definition_similarity=0.434; reverse_definition_similarity=0.253; semantic=0.434; POS/language checks PASS.
ox5000-123000ccb24aad3cb552	clerk	noun	B2	verified	службо́вець	https://www.oxfordlearnersdictionaries.com/us/definition/english/clerk_1	MANUAL_EMERGENCY_WORK V3 exact Oxford identity; source_index=893; definition_path=/us/definition/english/clerk_1; stable_id=PASS; exact_definition='a person whose job is to serve customers in a shop'; selected_candidate_method=en_wiktionary_matching_pos_uk_translation	MANUAL_EMERGENCY_WORK_20260820_FIRST_PASS_V3_round01	MANUAL_EMERGENCY_WORK_20260820_SECOND_PASS_V3_round01	PASS: source-grounded second pass; method=en_wiktionary_matching_pos_uk_translation; exact Oxford definition='a person whose job is to serve customers in a shop'; candidate='службо́вець'; reverse='minister'; lexical=0.308; candidate_definition_similarity=0.499; reverse_definition_similarity=0.199; semantic=0.499; POS/language checks PASS.
ox5000-a57faf81bb42681a8e1a	clip	noun	B2	verified	кліп	https://www.oxfordlearnersdictionaries.com/us/definition/english/clip_1	MANUAL_EMERGENCY_WORK V3 exact Oxford identity; source_index=905; definition_path=/us/definition/english/clip_1; stable_id=PASS; exact_definition='a short part of a film that is shown separately'; selected_candidate_method=Helsinki-NLP/opus-mt-en-uk_surface_candidate	MANUAL_EMERGENCY_WORK_20260820_FIRST_PASS_V3_round01	MANUAL_EMERGENCY_WORK_20260820_SECOND_PASS_V3_round01	PASS: source-grounded second pass; method=Helsinki-NLP/opus-mt-en-uk_surface_candidate; exact Oxford definition='a short part of a film that is shown separately'; candidate='кліп'; reverse='music clip'; lexical=1.000; candidate_definition_similarity=0.540; reverse_definition_similarity=0.449; semantic=0.540; POS/language checks PASS.
ox5000-716808837b74db6359aa	coincidence	noun	B2	verified	збіг обставин (нуун): факт двох подій, що відбуваються в один і той же час, у несподіваний спосіб	https://www.oxfordlearnersdictionaries.com/us/definition/english/coincidence	MANUAL_EMERGENCY_WORK V3 exact Oxford identity; source_index=934; definition_path=/us/definition/english/coincidence; stable_id=PASS; exact_definition='the fact of two things happening at the same time by chance, in a surprising way'; selected_candidate_method=Helsinki-NLP/opus-mt-en-uk_contextual_definition_candidate	MANUAL_EMERGENCY_WORK_20260820_FIRST_PASS_V3_round01	MANUAL_EMERGENCY_WORK_20260820_SECOND_PASS_V3_round01	PASS: source-grounded second pass; method=Helsinki-NLP/opus-mt-en-uk_contextual_definition_candidate; exact Oxford definition='the fact of two things happening at the same time by chance, in a surprising way'; candidate='збіг обставин (нуун): факт двох подій, що відбуваються в один і той же час, у несподіваний спосіб'; reverse='coincidence: the fact of two events occurring at the same time in unexpected ways'; lexical=1.000; candidate_definition_similarity=0.901; reverse_definition_similarity=0.882; semantic=0.901; POS/language checks PASS.
ox5000-8c5031daad7f45108dc2	collector	noun	B2	verified	колекціонер (нуун): людина, яка збирає речі, або як хобі, або як робота.	https://www.oxfordlearnersdictionaries.com/us/definition/english/collector	MANUAL_EMERGENCY_WORK V3 exact Oxford identity; source_index=945; definition_path=/us/definition/english/collector; stable_id=PASS; exact_definition='a person who collects things, either as a hobby or as a job'; selected_candidate_method=Helsinki-NLP/opus-mt-en-uk_contextual_definition_candidate	MANUAL_EMERGENCY_WORK_20260820_FIRST_PASS_V3_round01	MANUAL_EMERGENCY_WORK_20260820_SECOND_PASS_V3_round01	PASS: source-grounded second pass; method=Helsinki-NLP/opus-mt-en-uk_contextual_definition_candidate; exact Oxford definition='a person who collects things, either as a hobby or as a job'; candidate='колекціонер (нуун): людина, яка збирає речі, або як хобі, або як робота.'; reverse='collector (nuun): A person who collects things, either as a hobby or as a job.'; lexical=1.000; candidate_definition_similarity=0.913; reverse_definition_similarity=0.848; semantic=0.913; POS/language checks PASS.
ox5000-d986169e6087570a695b	colony	noun	B2	verified	колонія (нуун): країна або територія, якою керують люди з іншої, більш могутньої країни.	https://www.oxfordlearnersdictionaries.com/us/definition/english/colony	MANUAL_EMERGENCY_WORK V3 exact Oxford identity; source_index=949; definition_path=/us/definition/english/colony; stable_id=PASS; exact_definition='a country or an area that is governed by people from another, more powerful, country'; selected_candidate_method=Helsinki-NLP/opus-mt-en-uk_contextual_definition_candidate	MANUAL_EMERGENCY_WORK_20260820_FIRST_PASS_V3_round01	MANUAL_EMERGENCY_WORK_20260820_SECOND_PASS_V3_round01	PASS: source-grounded second pass; method=Helsinki-NLP/opus-mt-en-uk_contextual_definition_candidate; exact Oxford definition='a country or an area that is governed by people from another, more powerful, country'; candidate='колонія (нуун): країна або територія, якою керують люди з іншої, більш могутньої країни.'; reverse='Colony (nuun): A country or territory ruled by people from another, more powerful country.'; lexical=1.000; candidate_definition_similarity=0.682; reverse_definition_similarity=0.640; semantic=0.682; POS/language checks PASS.
ox5000-e8838df3182b0d30fd61	colourful	adjective	B2	verified	кольоровий	https://www.oxfordlearnersdictionaries.com/us/definition/english/colourful	MANUAL_EMERGENCY_WORK V3 exact Oxford identity; source_index=952; definition_path=/us/definition/english/colourful; stable_id=PASS; exact_definition='full of bright colours or having a lot of different colours'; selected_candidate_method=Helsinki-NLP/opus-mt-en-uk_surface_candidate	MANUAL_EMERGENCY_WORK_20260820_FIRST_PASS_V3_round01	MANUAL_EMERGENCY_WORK_20260820_SECOND_PASS_V3_round01	PASS: source-grounded second pass; method=Helsinki-NLP/opus-mt-en-uk_surface_candidate; exact Oxford definition='full of bright colours or having a lot of different colours'; candidate='кольоровий'; reverse='color'; lexical=0.714; candidate_definition_similarity=0.722; reverse_definition_similarity=0.696; semantic=0.722; POS/language checks PASS.
ox5000-3ef335dbc548cf6ee9a2	comic	noun	B2	verified	комікс (ноун): журнал, зазвичай для дітей, який розповідає історії через малюнки.	https://www.oxfordlearnersdictionaries.com/us/definition/english/comic_2	MANUAL_EMERGENCY_WORK V3 exact Oxford identity; source_index=965; definition_path=/us/definition/english/comic_2; stable_id=PASS; exact_definition='a magazine, usually for children, that tells stories through pictures'; selected_candidate_method=Helsinki-NLP/opus-mt-en-uk_contextual_definition_candidate	MANUAL_EMERGENCY_WORK_20260820_FIRST_PASS_V3_round01	MANUAL_EMERGENCY_WORK_20260820_SECOND_PASS_V3_round01	PASS: source-grounded second pass; method=Helsinki-NLP/opus-mt-en-uk_contextual_definition_candidate; exact Oxford definition='a magazine, usually for children, that tells stories through pictures'; candidate='комікс (ноун): журнал, зазвичай для дітей, який розповідає історії через малюнки.'; reverse='Comic: A journal usually for children who tell stories through pictures.'; lexical=1.000; candidate_definition_similarity=0.791; reverse_definition_similarity=0.781; semantic=0.791; POS/language checks PASS.
ox5000-8088b7e5636be8851c0c	commander	noun	B2	verified	командуючий (нуун): особа відповідальна за якусь справу, а головно офіцер, який наглядав за певною групою вояків або військовими операціями.	https://www.oxfordlearnersdictionaries.com/us/definition/english/commander	MANUAL_EMERGENCY_WORK V3 exact Oxford identity; source_index=968; definition_path=/us/definition/english/commander; stable_id=PASS; exact_definition='a person who is in charge of something, especially an officer in charge of a particular group of soldiers or a military operation'; selected_candidate_method=Helsinki-NLP/opus-mt-en-uk_contextual_definition_candidate	MANUAL_EMERGENCY_WORK_20260820_FIRST_PASS_V3_round01	MANUAL_EMERGENCY_WORK_20260820_SECOND_PASS_V3_round01	PASS: source-grounded second pass; method=Helsinki-NLP/opus-mt-en-uk_contextual_definition_candidate; exact Oxford definition='a person who is in charge of something, especially an officer in charge of a particular group of soldiers or a military operation'; candidate='командуючий (нуун): особа відповідальна за якусь справу, а головно офіцер, який наглядав за певною групою вояків або військовими операціями.'; reverse='Commander (nuun): A person is responsible for a case, especially an officer who oversees a certain group of soldiers or military operations.'; lexical=1.000; candidate_definition_similarity=0.886; reverse_definition_similarity=0.807; semantic=0.886; POS/language checks PASS.
ox5000-39d12fcbbe01c1f981f5	comparative	adjective	B2	verified	порівня́льний	https://www.oxfordlearnersdictionaries.com/us/definition/english/comparative_1	MANUAL_EMERGENCY_WORK V3 exact Oxford identity; source_index=993; definition_path=/us/definition/english/comparative_1; stable_id=PASS; exact_definition='measured or judged by how similar or different it is to something else'; selected_candidate_method=en_wiktionary_matching_pos_uk_translation	MANUAL_EMERGENCY_WORK_20260820_FIRST_PASS_V3_round01	MANUAL_EMERGENCY_WORK_20260820_SECOND_PASS_V3_round01	PASS: source-grounded second pass; method=en_wiktionary_matching_pos_uk_translation; exact Oxford definition='measured or judged by how similar or different it is to something else'; candidate='порівня́льний'; reverse='comparative'; lexical=1.000; candidate_definition_similarity=0.477; reverse_definition_similarity=0.462; semantic=0.477; POS/language checks PASS.
ox5000-3b7af52b2f41a82a1271	completion	noun	B2	verified	завершення (немає): дія або процес завершення; стан завершення і завершення	https://www.oxfordlearnersdictionaries.com/us/definition/english/completion	MANUAL_EMERGENCY_WORK V3 exact Oxford identity; source_index=1014; definition_path=/us/definition/english/completion; stable_id=PASS; exact_definition='the act or process of finishing something; the state of being finished and complete'; selected_candidate_method=Helsinki-NLP/opus-mt-en-uk_contextual_definition_candidate	MANUAL_EMERGENCY_WORK_20260820_FIRST_PASS_V3_round01	MANUAL_EMERGENCY_WORK_20260820_SECOND_PASS_V3_round01	PASS: source-grounded second pass; method=Helsinki-NLP/opus-mt-en-uk_contextual_definition_candidate; exact Oxford definition='the act or process of finishing something; the state of being finished and complete'; candidate='завершення (немає): дія або процес завершення; стан завершення і завершення'; reverse='completion (no): operation or process of completion; completion and completion'; lexical=1.000; candidate_definition_similarity=0.824; reverse_definition_similarity=0.748; semantic=0.824; POS/language checks PASS.
